min_start,min_start_real,DateTime,bw,mo2,mo2_unscaled,mo2_scaled,mmr,ID,temp,percent_mmr,aas,fas,mo2_recovered,percent_aas,fas_available,rmr,ln_mo2_minus_rmr,B,beta,Bebt,ln_mo2_minus_Bebt,A,alpha
0,0,9/7/2020 18:35,0.055,14.75558618,0.81155724,18.11283221,18.11283221,A105,19,100,15.82560568,7.919124745,0,0,1,2.28722653,2.761629241,3.120074875,-0.008048,3.120074875,2.542037395,7.646897423,4.42829
9,9,9/7/2020 18:43,0.055,6.222190909,0.3422205,7.75928462,18.11283221,A105,19,42.83860487,15.82560568,7.919124745,10.35354759,65.42275725,2.334343061,2.28722653,1.699654796,3.120074875,-0.008048,2.902072103,0.943900447,7.646897423,-0.18171
16,16,9/7/2020 18:50,0.055,7.915214182,0.43533678,9.870542477,18.11283221,A105,19,54.49474916,15.82560568,7.919124745,8.242289731,52.08198598,1.835039184,2.28722653,2.025950564,3.120074875,-0.008048,2.743100911,,7.646897423,-0.18171
24,24,9/7/2020 18:59,0.055,3.381641455,0.18599028,4.217022415,18.11283221,A105,19,23.28196036,15.82560568,7.919124745,13.89580979,87.80586395,4.295170959,2.28722653,0.657414238,3.120074875,-0.008048,2.572054511,,7.646897423,-0.18171
34,34,9/7/2020 19:09,0.055,4.316622,0.23741421,5.382975094,18.11283221,A105,19,29.71912417,15.82560568,7.919124745,12.72985711,80.43835649,3.364836711,2.28722653,1.130029739,3.120074875,-0.008048,2.373166169,,7.646897423,-0.18171
44,44,9/7/2020 19:19,0.055,4.332039818,0.23826219,5.40220164,18.11283221,A105,19,29.82527292,15.82560568,7.919124745,12.71063057,80.31686638,3.352861188,2.28722653,1.136221162,3.120074875,-0.008048,2.189657196,,7.646897423,-0.18171
0,0,9/7/2020 18:34,0.0591,9.948418883,0.587951556,12.44234978,12.44234978,A106,19,100,10.22534061,5.612222976,0,0,1,2.217009166,2.324869013,3.120074875,-0.008048,3.120074875,1.960836163,7.646897423,-0.18171
9,9,9/7/2020 18:43,0.0591,4.538853553,0.268246245,5.775205768,12.44234978,A106,19,46.41571626,10.22534061,5.612222976,6.667144007,65.20217039,2.154442678,2.217009166,1.269253844,3.120074875,-0.008048,2.902072103,-0.421404722,7.646897423,-0.18171
16,16,9/7/2020 18:50,0.0591,7.266321827,0.42943962,9.245617476,12.44234978,A106,19,74.30764801,10.22534061,5.612222976,3.1967323,31.26284416,1.345756496,2.217009166,1.949988722,3.120074875,-0.008048,2.743100911,,7.646897423,-0.18171
24,24,9/7/2020 18:59,0.0591,3.155204569,0.18647259,4.014660402,12.44234978,A106,19,32.26609502,10.22534061,5.612222976,8.427689374,82.41964445,3.099228461,2.217009166,0.586480944,3.120074875,-0.008048,2.572054511,,7.646897423,-0.18171
34,34,9/7/2020 19:09,0.0591,3.75195731,0.221740677,4.773964449,12.44234978,A106,19,38.3686726,10.22534061,5.612222976,7.668385327,74.99393536,2.606292928,2.217009166,0.938817208,3.120074875,-0.008048,2.373166169,,7.646897423,-0.18171
44,44,9/7/2020 19:19,0.0591,3.476959239,0.205488291,4.424058811,12.44234978,A106,19,35.55645751,10.22534061,5.612222976,8.018290965,78.41588139,2.812428657,2.217009166,0.791656621,3.120074875,-0.008048,2.189657196,,7.646897423,-0.18171
0,0,7/13/2021 10:33,0.0533,7.959343565,0.424233012,9.690851163,9.690851163,A109,19,100,7.630692345,4.703934028,0,0,1,2.060158817,2.032178581,3.120074875,-0.008048,3.120074875,1.506434056,7.646897423,-0.18171
8,8,7/13/2021 10:40,0.0533,5.874159006,0.313092675,7.2611618,9.690851163,A109,19,74.92800868,7.627560795,4.703934028,2.429689363,31.85408059,1.334614409,2.060158817,1.648851488,3.120074875,-0.008048,2.925522216,0.822191356,7.646897423,-0.18171
17,17,7/13/2021 10:49,0.0533,3.625897955,0.193260361,4.482042739,9.690851163,A109,19,46.25024844,7.627560795,4.703934028,5.208808424,68.28930721,2.162150548,2.060158817,0.884545717,3.120074875,-0.008048,2.721113033,,7.646897423,-0.18171
24,24,7/13/2021 10:59,0.0533,4.362201557,0.232505343,5.392201893,9.690851163,A109,19,55.64219078,7.627560795,4.703934028,4.29864927,56.35680116,1.797197389,2.060158817,1.203585652,3.120074875,-0.008048,2.572054511,,7.646897423,-0.18171
34,34,7/13/2021 11:09,0.0533,3.984212195,0.21235851,4.924961916,9.690851163,A109,19,50.82073631,7.627560795,4.703934028,4.765889247,62.48248129,1.967700731,2.060158817,1.052499621,3.120074875,-0.008048,2.373166169,,7.646897423,-0.18171
44,44,7/13/2021 11:19,0.0533,3.989887711,0.212661015,4.931977532,9.690851163,A109,19,50.89313053,7.627560795,4.703934028,4.758873632,62.39050411,1.964901726,2.060158817,1.054945528,3.120074875,-0.008048,2.189657196,,7.646897423,-0.18171
0,0,7/15/2021 11:10,0.0449,10.59540388,0.475733634,12.33778399,12.33778399,A201,19,100,9.703298242,4.683184953,0,0,1,2.634485743,2.272465853,3.120074875,-0.008048,3.120074875,1.8845245,7.646897423,-0.18171
8,8,7/15/2021 11:18,0.0449,6.452914744,0.289735872,7.60259228,12.33778399,A201,19,61.62040351,9.700218945,4.683184953,4.735191711,48.81530755,1.622839097,2.634485743,1.603038789,3.120074875,-0.008048,2.925522216,0.71421583,7.646897423,-0.18171
16,16,7/15/2021 11:26,0.0449,5.761143474,0.258675342,6.787572227,12.33778399,A201,19,55.01451664,9.700218945,4.683184953,5.550211764,57.21738649,1.817702056,2.634485743,1.423851789,3.120074875,-0.008048,2.743100911,,7.646897423,-0.18171
24,24,7/15/2021 11:34,0.0449,4.376696659,0.19651368,5.156466737,12.33778399,A201,19,41.79410776,9.700218945,4.683184953,7.181317255,74.03252747,2.392681776,2.634485743,0.925044701,3.120074875,-0.008048,2.572054511,,7.646897423,-0.18171
34,34,7/15/2021 11:51,0.0449,4.886256281,0.219392907,5.756811573,12.33778399,A201,19,46.66001267,9.700218945,4.683184953,6.580972418,67.84354513,2.143162727,2.634485743,1.138578182,3.120074875,-0.008048,2.373166169,,7.646897423,-0.18171
